chain,slug,source_rank,global_rank,global_score,economy_composite_score,ecosystem_score,adoption_score,performance_score
Ethereum,ethereum,1,1,8.7,9.4,10.0,7.5,3.9
Arbitrum,arbitrum,5,2,7.1,8.7,5.5,4.0,6.4
BNB Chain,bnb-chain,2,3,6.8,6.3,7.2,8.9,6.1
Polygon,polygon,8,4,6.2,7.1,5.0,4.7,6.3
Base,base,3,5,6.2,7.3,3.7,5.1,6.3
Optimism,optimism,15,6,5.8,7.3,3.7,3.0,6.3
Avalanche,avalanche,6,7,4.9,6.5,2.4,1.7,6.3
Mantle,mantle,9,8,3.8,5.2,1.0,0.9,6.3
Cronos,cronos,13,9,3.7,5.0,1.5,1.0,5.5
Berachain,berachain,14,10,3.5,4.9,0.5,0.5,6.5
Katana,katana,7,11,3.5,5.2,0.1,0.1,6.3
Gnosis,gnosis,16,12,3.5,4.8,1.1,0.3,5.6
Linea,linea,17,13,3.3,4.2,1.1,1.0,6.3
Sonic,sonic,29,14,3.2,4.2,0.6,0.4,6.6
Hedera,hedera,18,15,3.1,3.3,0.7,3.6,6.2
Ink,ink,10,16,3.0,4.2,0.2,0.2,6.3
Mode,mode,26,17,3.0,3.9,0.7,0.4,6.3
Fraxtal,fraxtal,30,18,2.9,3.9,0.4,0.1,6.3
BOB,bob,23,19,2.9,3.9,0.3,0.2,6.3
Monad,monad,11,20,2.8,3.8,0.2,0.3,6.9
Plasma,plasma,4,21,2.6,3.5,0.2,0.2,6.3
Plume,plume,19,22,2.6,3.5,0.2,0.1,6.3
Hemi,hemi,28,23,2.5,3.4,0.0,0.0,6.3
Scroll,scroll,12,24,2.4,2.8,0.8,0.7,6.2
MegaETH,megaeth,21,25,2.3,2.3,0.1,0.2,10.0
Unichain,unichain,24,26,2.2,2.6,0.5,0.3,6.5
Bitlayer,bitlayer,22,27,2.0,2.4,0.2,0.1,6.2
AILayer,ai-layer,25,28,1.7,1.8,0.0,0.0,6.3
Rootstock,rootstock,20,29,1.6,2.6,0.5,0.2,0.0
Ethereal,ethereal,27,30,1.5,1.6,0.0,0.0,6.4
